Forecast_Return,Sentiment,Volatility,Max_Drawdown,Beta,Forecast_Signal,Sentiment_Signal,Risk_Signal,Composite_Score,Recommendation,Date,Actual_Return,Ticker,Strategy_Return,Strategy_Equity,BuyHold_Equity
-0.030465329,0.0,0.2785705135340755,-0.16606668020066495,1.105630996366732,-1.0,0.0,0.55,-0.61,SELL,2024-08-15,0.0059185591309869,AAPL,-0.0059185591309869,0.9940814408690131,1.005918559130987
-0.03166004,0.0,0.27851989818134637,-0.16606668020066495,1.1053308397430561,-1.0,0.0,0.5245383952832217,-0.6049076790566443,SELL,2024-08-16,-0.0007077554147577,AAPL,0.0007077554147577,0.9947850073914982,1.0052066148239567
-0.029348463,0.0,0.2777810758302781,-0.16606668020066495,1.0774812340794715,0.8138871723645458,0.0,0.15288035785962711,0.37636751461034745,BUY,2024-08-19,0.0027445457491726,AAPL,0.0027445457491726,0.9975152403548752,1.007965450365712
-0.025388923,0.0,0.2732300124621847,-0.16606668020066495,1.0505580603102227,1.0,0.0,0.15,0.47,BUY,2024-08-20,-0.0004856192113651,AAPL,-0.0004856192113651,0.9970308277905293,1.007475962978622
-0.023557218,0.0,0.27194075591445316,-0.16606668020066495,1.0376002809525104,1.0,0.0,0.15,0.47,BUY,2024-08-21,-0.0082596735058814,AAPL,-0.0082596735058814,0.9887956786776808,0.9991545404593952
-0.021982614,0.0,0.2728692744597512,-0.16606668020066495,1.0393153118464018,1.0,0.0,0.21180740527242048,0.4576385189455159,BUY,2024-08-22,0.010288138741991,AAPL,0.010288138741991,0.998968545807398,1.0094339809963317
-0.018811025,0.0,0.2732656346934947,-0.16606668020066495,1.0437652939584354,1.0,0.0,0.2507346813557707,0.44985306372884587,BUY,2024-08-23,0.0014987595011253,AAPL,0.0014987595011253,1.0004657594067523,1.0109468797661088
-0.01760552,0.0,0.27324733808960316,-0.16606668020066495,1.0547735154006133,1.0,0.0,0.2867701029723382,0.44264597940553235,BUY,2024-08-26,0.0037416978243414,AAPL,0.0037416978243414,1.0042091999620526,1.0147295375066543
-0.016799118,0.0,0.2732202518565274,-0.16606668020066495,1.0618919056044693,1.0,0.0,0.30915177170622365,0.43816964565875527,BUY,2024-08-27,-0.0067535521279367,AAPL,-0.0067535521279367,0.9974272207827553,1.007876508679346
-0.01431353,0.0,0.2736271011031194,-0.16606668020066495,1.064787317073731,1.0,0.0,0.34346711115547,0.431306577768906,BUY,2024-08-28,0.0145702016397701,AAPL,0.0145702016397701,1.0119599365105556,1.0225614726387917
-0.013215758,0.0,0.27468519280102355,-0.16606668020066495,1.0624305129796587,1.0,0.0,0.3993547070633858,0.42012905858732286,BUY,2024-08-29,-0.0034378587101203,AAPL,-0.0034378587101203,1.0084809612285301,1.0190460507734471
-0.013792479,0.0,0.2748034767136123,-0.16606668020066495,1.0478430635770983,0.9374634371779831,0.0,0.3572763911473477,0.397276440359522,BUY,2024-08-30,-0.0272053592617308,AAPL,-0.0272053592617308,0.9810448743696923,0.9913225368579075
-0.013903255,0.0,0.2809105356612081,-0.16606668020066495,1.0732924152603476,0.9254514759642041,0.0,0.6704174482498844,0.3286422483321252,BUY,2024-09-03,-0.008618736678376,AAPL,-0.008618736678376,0.9725895069278295,0.9827785889493895
-0.013334886,0.0,0.2810308232234813,-0.16606668020066495,1.0802778370715407,0.9870823922557679,0.0,0.6939847323522604,0.35474424965743184,BUY,2024-09-04,0.006927761101692,AAPL,0.006927761101692,0.979327374681838,0.9895870442294888
-0.012259094,0.0,0.27767575388840693,-0.16606668020066495,1.0835928328893316,1.0,0.0,0.557532081284372,0.3884935837431256,BUY,2024-09-05,-0.0070149483916583,AAPL,-0.0070149483916583,0.9724574436899066,0.9826451421851653
-0.0116849225,0.0,0.2367195246300296,-0.16606668020066495,1.025474178467587,1.0,0.0,0.15,0.47,BUY,2024-09-06,0.000407619885886,AAPL,0.000407619885886,0.9728538366821324,0.9830456878858892
-0.011153117,0.0,0.22973800385426796,-0.16606668020066495,0.9752641212265329,1.0,0.0,0.15,0.47,BUY,2024-09-09,-0.0036215329512414,AAPL,-0.0036215329512414,0.9693306144558466,0.9794855555346347
-0.010553474,0.0,0.229689671222656,-0.16606668020066495,0.9682695983055866,1.0,0.0,0.15,0.47,BUY,2024-09-10,0.0115852268993796,AAPL,0.0115852268993796,0.9805605295648326,0.9908331179401684
-0.010024145,0.0,0.23004577149496275,-0.16606668020066495,0.9687216093532073,1.0,0.0,0.15363126859863854,0.4692737462802723,BUY,2024-09-11,0.0004939468704443,AAPL,0.0004939468704443,0.9810448743696925,0.9913225368579075
-0.009844701,0.0,0.22669584640541118,-0.16606668020066495,0.9462030817539927,1.0,0.0,0.15,0.47,BUY,2024-09-12,-0.0012120173997848,AAPL,-0.0012120173997848,0.9798558309119867,0.9901210366944369
